line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
822926,954299,Consortium,125696,INTERMEDIATE UNIT 11,PA,1042446,2842365,1,Transport,Y,100,Ethernet,Fiber,29,0,44215,530580,"Affiniti PA ,LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2019 0:00
823024,953785,District,125482,FARRELL AREA SCHOOL DISTRICT,PA,1042938,2853120,1,Internet,N,50,Dark Fiber Service,Fiber,0,0,1370,16440,Data Recovery Services LLC,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2017 0:00
823066,954296,Consortium,147357,APPALACHIA INT UNIT 8,PA,1043242,2845899,2,Transport,Y,0,OC-N,Fiber,4,0,7000,84000,"Affiniti PA ,LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/28/2018 0:00
823067,954296,Consortium,147357,APPALACHIA INT UNIT 8,PA,1043242,2845899,3,Transport,Y,0,OC-N,Fiber,23,0,31970,383640,"Affiniti PA ,LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/28/2018 0:00
823336,954298,Consortium,125647,INTERMEDIATE UNIT 10,PA,1045178,2851471,1,Internet,N,10,Standalone Internet Access,Other / Uncategorized,1,0,120,1440,Comcast Business Communications,TRUE,n/a,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
823337,954298,Consortium,125647,INTERMEDIATE UNIT 10,PA,1045178,2851471,2,Internet,N,3,Standalone Internet Access,Other / Uncategorized,1,0,90,1080,Comcast Business Communications,TRUE,n/a,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
823338,954298,Consortium,125647,INTERMEDIATE UNIT 10,PA,1045178,2851497,1,Internet,N,20,Standalone Internet Access,Other / Uncategorized,1,0,290,3480,Atlantic Broadband (Penn) LLC,TRUE,n/a,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
823339,954298,Consortium,125647,INTERMEDIATE UNIT 10,PA,1045178,2868050,1,Internet,N,0.768,Standalone Internet Access,Other / Uncategorized,4,0,400,4800,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
830711,1032821,Consortium,120839,R.I. DEPARTMENT OF ELEMENTARY & SECONDARY,RI,996401,2742787,1,Transport,N,1000,Dark Fiber Service,Fiber,23,0,11500,138000,Oshean Inc,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
830737,959607,District,120779,EAST GREENWICH PUBLIC SCHOOLS,RI,997325,2722877,1,Internet,Y,500,Standalone Internet Access,Other / Uncategorized,1,0,2166.66,25999.92,Oshean Inc,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
