"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly","clean_the_line_item"
"661","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2746863-1",TRUE,FALSE
"662","Fiber","Fiber","Other / Uncategorized","2746891-1",TRUE,TRUE
"663","Cable / DSL","Fixed Wireless","Cable / DSL","2746895-1",FALSE,FALSE
"669","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2747356-1",TRUE,FALSE
"672","Fiber","Fiber","Fiber","2747388-2",TRUE,FALSE
"678","Cable / DSL","Cable / DSL","Cable / DSL","2747712-1",TRUE,FALSE
"685","Cable / DSL","Cable / DSL","Cable / DSL","2748157-1",TRUE,FALSE
"689","Fiber","Fiber","Fiber","2749141-1",TRUE,FALSE
"705","Fiber","Fiber","Other / Uncategorized","2749899-1",TRUE,TRUE
"708","Copper","Copper","Copper","2750059-1",TRUE,FALSE
"709","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2750067-1",TRUE,FALSE
"713","Fiber","Fiber","Fiber","2750243-1",TRUE,FALSE
"720","Fiber","Fiber","Fiber","2750415-3",TRUE,FALSE
"722","Fiber","Fiber","Fiber","2750426-1",TRUE,FALSE
"723","Fiber","Fiber","Other / Uncategorized","2750426-2",TRUE,TRUE
"726","Fiber","Fiber","Fiber","2750555-1",TRUE,FALSE
"731","Fiber","Fiber","Fiber","2750688-1",TRUE,FALSE
"738","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2750816-1",TRUE,FALSE
"740","Fiber","Fiber","Fiber","2750997-1",TRUE,FALSE
"741","Fiber","Fiber","Fiber","2751048-1",TRUE,FALSE
"749","Fiber","Other / Uncategorized","Other / Uncategorized","2751531-1",FALSE,FALSE
"755","Cable / DSL","Cable / DSL","Other / Uncategorized","2751765-1",TRUE,TRUE
"781","Fiber","Fiber","Fiber","2752816-1",TRUE,FALSE
"789","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2753125-3",TRUE,TRUE
"792","Fixed Wireless","Fiber","Other / Uncategorized","2753125-6",FALSE,FALSE
"799","Other / Uncategorized","Fiber","Cable / DSL","2753285-2",FALSE,FALSE
"803","Fiber","Fiber","Fiber","2753337-1",TRUE,FALSE
"806","Cable / DSL","Cable / DSL","Other / Uncategorized","2753436-1",TRUE,TRUE
"807","Cable / DSL","Fiber","Fiber","2753494-1",FALSE,FALSE
"810","Fiber","Fiber","Fiber","2753631-1",TRUE,FALSE
"814","Fiber","Fiber","Fiber","2753746-1",TRUE,FALSE
"817","Fiber","Fiber","Fiber","2753746-4",TRUE,FALSE
"821","Other / Uncategorized","Fiber","Other / Uncategorized","2753759-1",FALSE,FALSE
"828","Fiber","Fiber","Fiber","2754074-2",TRUE,FALSE
"830","Fiber","Fiber","Other / Uncategorized","2754148-1",TRUE,TRUE
"839","Fiber","Fiber","Other / Uncategorized","2754916-1",TRUE,TRUE
"840","Fiber","Fiber","Other / Uncategorized","2754921-1",TRUE,TRUE
"851","Fixed Wireless","Fiber","Fiber","2755164-1",FALSE,FALSE
"856","Fiber","Fiber","Fiber","2755399-1",TRUE,FALSE
"869","Cable / DSL","Cable / DSL","Cable / DSL","2756077-1",TRUE,FALSE
"871","Fiber","Fiber","Fiber","2756306-1",TRUE,FALSE
"872","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2756626-1",TRUE,TRUE
