"esh_id","name","num_students","ia_bw_mbps_total","district_bw_per_student","district_meeting_goals_2014","service_provider_2016","bandwidth_in_mbps_2016","sp_bw_per_student","sp_meeting_goals_2014","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","locale","district_size","city","postal_cd","zip"
970061,"STAFFORD MSD",3267,1000,306.091215182124,1,"PHONOSCOPE LIGHT",1000,306.091215182124,1,"2019-06-30","Internet",1,3500,TRUE,FALSE,"Suburban","Medium","STAFFORD","TX",77477
970062,"STAMFORD ISD",625,1500,2400,1,"Cebridge",1000,1600,1,"2020-06-30","Upstream",0.67,208.041818181818,TRUE,TRUE,"Town","Small","STAMFORD","TX",79553
970078,"SULPHUR SPRINGS ISD",3993,1000,250.438266967193,1,"Cebridge",1000,250.438266967193,1,"2017-06-30","Internet",1,3250,TRUE,FALSE,"Town","Medium","SULPHUR SPRINGS","TX",75482
970083,"SWEET HOME ISD",133,3.088,23.218045112782,0,"AT&T",3.088,23.218045112782,0,"2017-06-30","Upstream",1,646,TRUE,TRUE,"Rural","Tiny","SWEET HOME","TX",77987
970085,"SWEETWATER ISD",2022,1300,642.927794263106,1,"Cebridge",1000,494.559841740851,1,"2020-06-30","Upstream",0.77,208.041818181818,TRUE,TRUE,"Town","Small","SWEETWATER","TX",79556
970089,"TARKINGTON ISD",1836,100,54.4662309368192,0,"AT&T",100,54.4662309368192,0,"2018-06-30","Internet",1,1495.84,TRUE,FALSE,"Rural","Small","CLEVELAND","TX",77327
970090,"TATUM ISD",1662,300,180.505415162455,1,"Cebridge",200,120.336943441637,1,"2018-06-30","Upstream",0.67,3000,TRUE,FALSE,"Rural","Small","TATUM","TX",75691
970091,"TAYLOR ISD",3034,700,230.71852340145,1,"Charter",700,230.71852340145,1,"2019-06-30","Internet",1,2550,TRUE,FALSE,"Rural","Small","TAYLOR","TX",76574
970095,"TEMPLE ISD",8011,2000,249.65672200724,1,"Grande Comm",2000,249.65672200724,1,"2019-06-30","Internet",1,4620,TRUE,FALSE,"Urban","Medium","TEMPLE","TX",76504
970102,"TERRELL ISD",3880,1000,257.731958762887,1,"Windstream",1000,257.731958762887,1,"2019-06-30","Internet",1,3345,TRUE,FALSE,"Town","Medium","TERRELL","TX",75160
970103,"TEXARKANA ISD",6729,800,118.888393520583,1,"Windstream",800,118.888393520583,1,"2017-06-30","Internet",1,4800,TRUE,TRUE,"Urban","Medium","TEXARKANA","TX",75503
970112,"THROCKMORTON ISD",185,20,108.108108108108,1,"Windstream",20,108.108108108108,1,"2017-06-30","Internet",1,935,TRUE,FALSE,"Rural","Tiny","THROCKMORTON","TX",76483
970116,"TIMPSON ISD",589,140,237.691001697793,1,"AT&T",100,169.779286926995,1,"2018-06-30","Internet",0.71,1556.4,TRUE,FALSE,"Rural","Small","TIMPSON","TX",75975
970120,"TOMBALL ISD",12244,3000,245.017967984319,1,"PHONOSCOPE LIGHT",2000,163.345311989546,1,"2019-06-30","Internet",0.67,4900,TRUE,FALSE,"Suburban","Large","TOMBALL","TX",77375
970124,"TRINIDAD ISD",172,50,290.697674418605,1,"CenturyLink",50,290.697674418605,1,"2019-06-30","Upstream",1,860,TRUE,FALSE,"Rural","Tiny","TRINIDAD","TX",75163
970126,"TRINITY ISD",1157,170,146.931719965428,1,"Windstream",170,146.931719965428,1,"2017-06-30","Internet",1,5350,TRUE,FALSE,"Town","Small","TRINITY","TX",75862
970127,"TROUP ISD",1050,100,95.2380952380952,0,"Cebridge",100,95.2380952380952,0,"2017-06-30","Upstream",1,1815.69,TRUE,FALSE,"Rural","Small","TROUP","TX",75789
970129,"WESTWOOD ISD",1541,500,324.464633354964,1,"Windstream",500,324.464633354964,1,"2018-06-30","Internet",1,4158,TRUE,FALSE,"Town","Small","PALESTINE","TX",75801
970131,"TULOSO-MIDWAY ISD",3758,500,133.049494411921,1,"Cogent",500,133.049494411921,1,"2019-06-30","Internet",1,2064,TRUE,FALSE,"Urban","Small","CORPUS CHRISTI","TX",78460
970133,"TYLER ISD",17416,1000,57.4184657785944,0,"AT&T",1000,57.4184657785944,0,"2017-06-30","Upstream",1,592,TRUE,FALSE,"Urban","Large","TYLER","TX",75701
970135,"UNION GROVE ISD",753,13200,17529.8804780876,1,"CenturyLink",10000,13280.2124833997,1,"2019-06-30","Upstream",0.76,2500,TRUE,TRUE,"Rural","Small","GLADEWATER","TX",75647
970148,"VAN ISD",2243,600,267.498885421311,1,"Cebridge",600,267.498885421311,1,"2017-06-30","Upstream",1,3135,TRUE,FALSE,"Town","Small","VAN","TX",75790
