"esh_id","service_provider_2015","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis"
965986,"South Dakota Network",6130,"2016-06-30","Upstream",1,55301.8028169014,TRUE,FALSE
965988,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965990,"Midcontinent",250,"2016-06-30","Upstream",1,675,TRUE,FALSE
965992,"Midcontinent",290,"2016-06-30","Upstream",0.89,1395,TRUE,FALSE
965992,"Golden West",36,"2016-06-30","Internet",0.11,419.7,FALSE,FALSE
965995,"Roberts County",50,"2016-06-30","Internet",0.5,450,FALSE,FALSE
965995,"South Dakota Network",50,"2016-06-30","Upstream",0.5,1272.91666666667,FALSE,FALSE
965996,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965999,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
966002,"South Dakota Network",200,"2016-06-30","Upstream",1,2678.91666666667,TRUE,FALSE
966003,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
966006,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
966009,"Midcontinent",1000,"2016-06-30","Upstream",1,1500,TRUE,FALSE
966011,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
966012,"Midcontinent",100,"2016-06-30","Upstream",1,750,TRUE,FALSE
966013,"South Dakota Network",100,"2016-06-30","Upstream",1,2545.83333333333,TRUE,FALSE
966015,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
966016,"South Dakota Network",150,"2016-06-30","Upstream",1,3102.63497652582,TRUE,FALSE
966019,"South Dakota Network",50,"2016-06-30","Upstream",0.51,1272.91666666667,TRUE,FALSE
966019,"Northern Wireless",30,"2016-06-30","Internet",0.31,100,FALSE,FALSE
966019,"Interstate Telecomm",18,"2016-06-28","Internet",0.18,151.74,FALSE,FALSE
966021,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
966026,"South Dakota Network",50,"2016-06-30","Upstream",0.91,1272.91666666667,TRUE,FALSE
966026,"Santel Comm",5,"2016-06-30","Internet",0.09,28.81,FALSE,FALSE
966029,"Midcontinent",250,"2016-06-30","Upstream",1,675,TRUE,FALSE
966031,"South Dakota Network",250,"2016-06-30","Upstream",1,5648.46830985915,TRUE,FALSE
966032,"South Dakota Network",100,"2016-06-30","Upstream",0.97,1829.71830985915,TRUE,FALSE
966032,"Midstate Comm",3,"2016-06-30","Internet",0.03,39.95,FALSE,FALSE
966033,"South Dakota Network",100,"2016-06-30","Upstream",1,2545.83333333333,TRUE,FALSE
