"","postal_cd","district_esh_id","pct_scalable"
"1113","GA",890033,1
"1114","IA",894138,0.333333333333333
"1115","IA",894139,0.5
"1116","IA",894140,0.333333333333333
"1117","IA",894141,1
"1118","IA",894143,0.5
"1119","IA",894146,0.333333333333333
"1120","IA",894149,1
"1121","IA",894150,1
"1122","IA",894155,0.666666666666667
"1123","IA",894156,1
"1124","IA",894157,1
"1125","IA",894159,0.25
"1126","IA",894161,0.25
"1127","IA",894163,0.666666666666667
"1128","IA",894165,1
"1129","IA",894166,1
"1130","IA",894171,0.666666666666667
"1131","IA",894175,0.5
"1132","IA",894178,0.25
"1133","IA",894179,0.666666666666667
"1134","IA",894185,0.5
"1135","IA",894186,1
"1136","IA",894187,1
"1137","IA",894191,1
"1138","IA",894194,1
"1139","IA",894197,1
"1140","IA",894198,1
"1141","IA",894201,0.5
"1142","IA",894204,1
"1143","IA",894207,1
"1144","IA",894208,1
"1145","IA",894209,0.333333333333333
"1146","IA",894212,1
"1147","IA",894214,0.25
"1148","IA",894215,1
